Variation,FeatureExtractor,FeatureName
log-sigma-4-0-mm-3D,glcm,SumAverage
log-sigma-4-0-mm-3D,glcm,SumEntropy
log-sigma-4-0-mm-3D,glcm,SumSquares
log-sigma-4-0-mm-3D,gldm,GrayLevelNonUniformity
log-sigma-4-0-mm-3D,gldm,GrayLevelVariance
log-sigma-4-0-mm-3D,gldm,HighGrayLevelEmphasis
log-sigma-4-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis
log-sigma-4-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis
log-sigma-4-0-mm-3D,gldm,LowGrayLevelEmphasis
log-sigma-4-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized
log-sigma-4-0-mm-3D,glrlm,GrayLevelVariance
log-sigma-4-0-mm-3D,glrlm,RunLengthNonUniformity
log-sigma-4-0-mm-3D,glrlm,RunVariance
log-sigma-4-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis
log-sigma-4-0-mm-3D,glszm,GrayLevelNonUniformityNormalized
log-sigma-4-0-mm-3D,glszm,GrayLevelVariance
log-sigma-4-0-mm-3D,glszm,HighGrayLevelZoneEmphasis
log-sigma-4-0-mm-3D,glszm,LowGrayLevelZoneEmphasis
log-sigma-4-0-mm-3D,ngtdm,Busyness
log-sigma-4-0-mm-3D,ngtdm,Contrast
log-sigma-4-5-mm-3D,firstorder,90Percentile
log-sigma-4-5-mm-3D,firstorder,Entropy
log-sigma-4-5-mm-3D,firstorder,Maximum
log-sigma-4-5-mm-3D,firstorder,Mean
log-sigma-4-5-mm-3D,firstorder,Median
log-sigma-4-5-mm-3D,firstorder,RootMeanSquared
log-sigma-4-5-mm-3D,firstorder,Uniformity
log-sigma-4-5-mm-3D,glcm,Autocorrelation
log-sigma-4-5-mm-3D,glcm,ClusterTendency
log-sigma-4-5-mm-3D,glcm,Correlation
log-sigma-4-5-mm-3D,glcm,Imc1
log-sigma-4-5-mm-3D,glcm,Imc2
log-sigma-4-5-mm-3D,glcm,JointAverage
log-sigma-4-5-mm-3D,glcm,JointEnergy
log-sigma-4-5-mm-3D,glcm,JointEntropy
log-sigma-4-5-mm-3D,glcm,MCC
log-sigma-4-5-mm-3D,glcm,MaximumProbability
log-sigma-4-5-mm-3D,glcm,SumAverage
log-sigma-4-5-mm-3D,glcm,SumEntropy
log-sigma-4-5-mm-3D,glcm,SumSquares
log-sigma-4-5-mm-3D,gldm,GrayLevelNonUniformity
log-sigma-4-5-mm-3D,gldm,GrayLevelVariance
log-sigma-4-5-mm-3D,gldm,HighGrayLevelEmphasis
log-sigma-4-5-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis
log-sigma-4-5-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis
log-sigma-4-5-mm-3D,gldm,LowGrayLevelEmphasis
log-sigma-4-5-mm-3D,glrlm,LongRunLowGrayLevelEmphasis
log-sigma-4-5-mm-3D,glrlm,RunVariance
log-sigma-4-5-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis
log-sigma-4-5-mm-3D,glszm,HighGrayLevelZoneEmphasis
log-sigma-4-5-mm-3D,glszm,LowGrayLevelZoneEmphasis
log-sigma-4-5-mm-3D,ngtdm,Contrast
log-sigma-5-0-mm-3D,firstorder,Entropy
log-sigma-5-0-mm-3D,firstorder,Median
log-sigma-5-0-mm-3D,firstorder,Uniformity
log-sigma-5-0-mm-3D,glcm,Autocorrelation
log-sigma-5-0-mm-3D,glcm,ClusterTendency
log-sigma-5-0-mm-3D,glcm,Correlation
log-sigma-5-0-mm-3D,glcm,Imc1
log-sigma-5-0-mm-3D,glcm,Imc2
log-sigma-5-0-mm-3D,glcm,JointAverage
log-sigma-5-0-mm-3D,glcm,JointEnergy
log-sigma-5-0-mm-3D,glcm,JointEntropy
log-sigma-5-0-mm-3D,glcm,MCC
log-sigma-5-0-mm-3D,glcm,MaximumProbability
log-sigma-5-0-mm-3D,glcm,SumAverage
log-sigma-5-0-mm-3D,glcm,SumEntropy
log-sigma-5-0-mm-3D,glcm,SumSquares
log-sigma-5-0-mm-3D,gldm,DependenceEntropy
log-sigma-5-0-mm-3D,gldm,GrayLevelNonUniformity
log-sigma-5-0-mm-3D,gldm,GrayLevelVariance
log-sigma-5-0-mm-3D,gldm,HighGrayLevelEmphasis
log-sigma-5-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis
log-sigma-5-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis
log-sigma-5-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis
log-sigma-5-0-mm-3D,glrlm,RunVariance
log-sigma-5-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis
log-sigma-5-0-mm-3D,glszm,GrayLevelNonUniformityNormalized
log-sigma-5-0-mm-3D,glszm,GrayLevelVariance
log-sigma-5-0-mm-3D,glszm,HighGrayLevelZoneEmphasis
log-sigma-5-0-mm-3D,glszm,LowGrayLevelZoneEmphasis
log-sigma-5-0-mm-3D,ngtdm,Contrast
wavelet-LLH,firstorder,10Percentile
wavelet-LLH,firstorder,Entropy
wavelet-LLH,firstorder,MeanAbsoluteDeviation
wavelet-LLH,firstorder,Uniformity
wavelet-LLH,firstorder,Variance
wavelet-LLH,glcm,Autocorrelation
wavelet-LLH,glcm,ClusterProminence
wavelet-LLH,glcm,ClusterShade
wavelet-LLH,glcm,ClusterTendency
wavelet-LLH,glcm,Contrast
wavelet-LLH,glcm,Correlation
wavelet-LLH,glcm,DifferenceAverage
wavelet-LLH,glcm,DifferenceVariance
wavelet-LLH,glcm,Id
wavelet-LLH,glcm,Idm
wavelet-LLH,glcm,Idmn
wavelet-LLH,glcm,Idn
wavelet-LLH,glcm,Imc2
wavelet-LLH,glcm,InverseVariance
wavelet-LLH,glcm,JointAverage
wavelet-LLH,glcm,JointEnergy
wavelet-LLH,glcm,JointEntropy
wavelet-LLH,glcm,MCC
wavelet-LLH,glcm,MaximumProbability
wavelet-LLH,glcm,SumAverage
wavelet-LLH,glcm,SumSquares
wavelet-LLH,gldm,DependenceVariance
wavelet-LLH,gldm,GrayLevelVariance
wavelet-LLH,gldm,HighGrayLevelEmphasis
wavelet-LLH,gldm,LargeDependenceEmphasis
wavelet-LLH,gldm,LargeDependenceLowGrayLevelEmphasis
wavelet-LLH,gldm,LowGrayLevelEmphasis
wavelet-LLH,gldm,SmallDependenceLowGrayLevelEmphasis
wavelet-LLH,glrlm,RunEntropy
wavelet-LLH,glrlm,RunLengthNonUniformityNormalized
wavelet-LLH,glrlm,RunPercentage
wavelet-LLH,glrlm,ShortRunEmphasis
wavelet-LLH,glrlm,ShortRunHighGrayLevelEmphasis
wavelet-LLH,glrlm,ShortRunLowGrayLevelEmphasis
wavelet-LLH,glszm,GrayLevelNonUniformity
wavelet-LLH,glszm,GrayLevelVariance
wavelet-LLH,glszm,SizeZoneNonUniformity
wavelet-LLH,glszm,ZoneEntropy
wavelet-LLH,ngtdm,Complexity
wavelet-LLH,ngtdm,Contrast
wavelet-LHL,firstorder,InterquartileRange
wavelet-LHL,firstorder,RobustMeanAbsoluteDeviation
wavelet-LHL,glrlm,LongRunHighGrayLevelEmphasis
wavelet-LHL,glszm,ZoneEntropy
wavelet-LHL,ngtdm,Busyness
wavelet-LHH,firstorder,10Percentile
wavelet-LHH,firstorder,MeanAbsoluteDeviation
wavelet-LHH,glcm,DifferenceEntropy
wavelet-LHH,glcm,DifferenceVariance
wavelet-LHH,glcm,Imc1
wavelet-LHH,glcm,JointEnergy
wavelet-LHH,glcm,JointEntropy
wavelet-LHH,glrlm,LongRunHighGrayLevelEmphasis
wavelet-HLL,firstorder,90Percentile
wavelet-HLL,firstorder,InterquartileRange
wavelet-HLL,firstorder,MeanAbsoluteDeviation
wavelet-HLL,firstorder,Median
wavelet-HLL,firstorder,RobustMeanAbsoluteDeviation
wavelet-HLL,firstorder,Variance
wavelet-HLL,glcm,ClusterTendency
wavelet-HLL,glcm,Contrast
wavelet-HLL,glcm,Correlation
wavelet-HLL,glcm,DifferenceAverage
wavelet-HLL,glcm,Id
wavelet-HLL,glcm,Idm
wavelet-HLL,glcm,Idmn
wavelet-HLL,glcm,Imc1
wavelet-HLL,glcm,Imc2
wavelet-HLL,glcm,InverseVariance
wavelet-HLL,gldm,DependenceNonUniformity
wavelet-HLL,glrlm,GrayLevelNonUniformity
wavelet-HLL,glrlm,LongRunEmphasis
wavelet-HLL,glrlm,LongRunHighGrayLevelEmphasis
wavelet-HLL,glrlm,RunEntropy
wavelet-HLL,glrlm,RunPercentage
wavelet-HLL,glrlm,ShortRunEmphasis
wavelet-HLL,ngtdm,Coarseness
wavelet-HLL,ngtdm,Complexity
wavelet-HLL,ngtdm,Contrast
wavelet-HLH,firstorder,90Percentile
wavelet-HLH,firstorder,InterquartileRange
wavelet-HLH,firstorder,Kurtosis
wavelet-HLH,firstorder,MeanAbsoluteDeviation
wavelet-HLH,firstorder,RobustMeanAbsoluteDeviation
wavelet-HLH,firstorder,Variance
wavelet-HLH,glcm,ClusterProminence
wavelet-HLH,glcm,ClusterTendency
wavelet-HLH,glcm,Contrast
wavelet-HLH,glcm,Correlation
wavelet-HLH,glcm,DifferenceAverage
wavelet-HLH,glcm,DifferenceEntropy
wavelet-HLH,glcm,Id
wavelet-HLH,glcm,Idm
wavelet-HLH,glcm,Idmn
wavelet-HLH,glcm,Idn
wavelet-HLH,glcm,Imc1
wavelet-HLH,glcm,InverseVariance
wavelet-HLH,glcm,JointEntropy
wavelet-HLH,glcm,MaximumProbability
wavelet-HLH,glrlm,RunLengthNonUniformity
wavelet-HLH,ngtdm,Contrast
wavelet-HHL,firstorder,10Percentile
wavelet-HHL,firstorder,90Percentile
wavelet-HHL,firstorder,InterquartileRange
wavelet-HHL,firstorder,MeanAbsoluteDeviation
wavelet-HHL,firstorder,RobustMeanAbsoluteDeviation
wavelet-HHL,firstorder,Variance
wavelet-HHL,glcm,Contrast
wavelet-HHL,glcm,DifferenceAverage
wavelet-HHL,glcm,Imc2
wavelet-HHL,glcm,InverseVariance
wavelet-HHL,gldm,DependenceEntropy
wavelet-HHL,gldm,DependenceNonUniformity
wavelet-HHL,gldm,DependenceNonUniformityNormalized
wavelet-HHL,gldm,DependenceVariance
wavelet-HHL,gldm,SmallDependenceEmphasis
wavelet-HHL,glrlm,LongRunEmphasis
wavelet-HHL,glrlm,LongRunHighGrayLevelEmphasis
wavelet-HHL,glrlm,RunLengthNonUniformity
wavelet-HHL,glrlm,ShortRunEmphasis
wavelet-HHL,ngtdm,Complexity
wavelet-HHL,ngtdm,Contrast
wavelet-HHH,firstorder,10Percentile
wavelet-HHH,firstorder,90Percentile
wavelet-HHH,firstorder,InterquartileRange
wavelet-HHH,firstorder,Kurtosis
wavelet-HHH,firstorder,MeanAbsoluteDeviation
wavelet-HHH,firstorder,RobustMeanAbsoluteDeviation
wavelet-HHH,firstorder,Variance
wavelet-HHH,glcm,ClusterProminence
wavelet-HHH,glcm,ClusterTendency
wavelet-HHH,glcm,Contrast
wavelet-HHH,glcm,Correlation
wavelet-HHH,glcm,DifferenceAverage
wavelet-HHH,glcm,DifferenceEntropy
wavelet-HHH,glcm,DifferenceVariance
wavelet-HHH,glcm,Id
wavelet-HHH,glcm,Idm
wavelet-HHH,glcm,Idmn
wavelet-HHH,glcm,Idn
wavelet-HHH,glcm,Imc1
wavelet-HHH,glcm,InverseVariance
wavelet-HHH,glcm,JointEnergy
wavelet-HHH,glcm,JointEntropy
wavelet-HHH,glcm,SumEntropy
wavelet-HHH,gldm,DependenceEntropy
wavelet-HHH,gldm,DependenceNonUniformity
wavelet-HHH,gldm,DependenceNonUniformityNormalized
wavelet-HHH,gldm,DependenceVariance
wavelet-HHH,glrlm,LongRunEmphasis
wavelet-HHH,glrlm,LongRunHighGrayLevelEmphasis
wavelet-HHH,glrlm,LongRunLowGrayLevelEmphasis
wavelet-HHH,glrlm,RunLengthNonUniformity
wavelet-HHH,glszm,ZonePercentage
wavelet-HHH,ngtdm,Coarseness
wavelet-HHH,ngtdm,Complexity
wavelet-HHH,ngtdm,Contrast
wavelet-HHH,ngtdm,Strength
wavelet-LLL,firstorder,Energy
wavelet-LLL,firstorder,InterquartileRange
wavelet-LLL,firstorder,Mean
wavelet-LLL,firstorder,Median
wavelet-LLL,firstorder,RobustMeanAbsoluteDeviation
wavelet-LLL,firstorder,RootMeanSquared
wavelet-LLL,firstorder,TotalEnergy
wavelet-LLL,gldm,SmallDependenceEmphasis
wavelet-LLL,gldm,SmallDependenceLowGrayLevelEmphasis
wavelet-LLL,glrlm,HighGrayLevelRunEmphasis
wavelet-LLL,glrlm,LowGrayLevelRunEmphasis
wavelet-LLL,glrlm,ShortRunLowGrayLevelEmphasis
wavelet-LLL,glszm,GrayLevelVariance
wavelet-LLL,glszm,ZoneVariance
